ano,presidente,indicador_gastos_vice_presidencia,data_pagamento,nome_fornecedor,subelemento_despesa,valor
2007,Lula,0,2007-01-02,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,1348.65
2007,Lula,0,2007-01-02,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,969.15
2007,Lula,0,2007-01-02,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,92.21
2007,Lula,0,2007-01-02,STAR CLEAN LAVANDERIA LTDA,SERVIÇOS DOMÉSTICOS,475.0
2007,Lula,0,2007-01-02,BRASÍLIA NÁUTICA LTDA - EPP,MATERIAL DE CAÇA E PESCA,486.0
2007,Lula,0,2007-01-02,BRASÍLIA COMER. DE MED. LTDA,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,152.1
2007,Lula,0,2007-01-03,CRISTAL LIMPEZA - COMÉRCIO DE MATERIAIS PARA LIMPE,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,371.7
2007,Lula,0,2007-01-03,REFRICENTER REFRIGERAÇÃO E COMÉRCIO DE PEÇAS LTDA EPP II,MATERIAL P/MANUTENÇÃO DE BENS MÓVEIS,45.5
2007,Lula,0,2007-01-03,PROSERCOM COMÉRCIO DE PRODUTOS QUÍMICOS LTDA - EPP,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÇÃO,5742.0
2007,Lula,0,2007-01-03,JCPO HOTÉIS E TURISMO LTDA,HOSPEDAGENS,572.0
2007,Lula,0,2007-01-03,JCPO HOTÉIS E TURISMO LTDA,HOSPEDAGENS,572.0
2007,Lula,0,2007-01-03,JCPO HOTÉIS E TURISMO LTDA,HOSPEDAGENS,572.0
2007,Lula,0,2007-01-03,JCPO HOTÉIS E TURISMO LTDA,HOSPEDAGENS,715.0
2007,Lula,0,2007-01-03,JCPO HOTÉIS E TURISMO LTDA,HOSPEDAGENS,605.0
2007,Lula,0,2007-01-03,SERV. AUX. DE TRANSPORTE AÉREO S.A - SATA,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",1362.0
2007,Lula,0,2007-01-03,SATA - SERVIÇOS AUXILIARES DE TRANSPORTES AÉREOS S/A,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",1076.0
2007,Lula,0,2007-01-03,SATA - SERVIÇOS AUXILIARES DE TRANSPORTES AÉREOS S/A,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",2586.86
2007,Lula,0,2007-01-03,SATA - SERVIÇOS AUXILIARES DE TRANSPORTES AÉREOS S/A,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",883.0
2007,Lula,0,2007-01-03,SERV. AUX. DE TRANSPORTE AÉREO S.A - SATA,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",465.0
2007,Lula,0,2007-01-03,SERV. AUX. DE TRANSPORTE AÉREO S.A - SATA,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",1140.0
2007,Lula,0,2007-01-03,SATA - SERVIÇOS AUXILIARES DE TRANSPORTES AÉREOS S/A,"SERV.DE APOIO ADMIN.,TECNICO E OPERACIONAL",3039.64
2007,Lula,0,2007-01-04,MERCADINHO LA PALMA LTDA,GENEROS DE ALIMENTAÇÃO,4800.0
2007,Lula,0,2007-01-04,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,2128.18
2007,Lula,0,2007-01-04,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,5272.35
2007,Lula,0,2007-01-04,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,1283.1
2007,Lula,0,2007-01-04,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,954.06
2007,Lula,0,2007-01-04,MERCADINHO LA PALMA LTDA,GENEROS DE ALIMENTAÇÃO,5200.0
2007,Lula,0,2007-01-05,MERCADINHO LA PALMA LTDA,GENEROS DE ALIMENTAÇÃO,2254.0
2007,Lula,0,2007-01-05,DISTRIBUIDORA DE CARNE MORRO BRANCO LTDA - ME,GENEROS DE ALIMENTAÇÃO,255.37
2007,Lula,0,2007-01-05,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR,GENEROS DE ALIMENTAÇÃO,390.95
2007,Lula,0,2007-01-05,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR,GENEROS DE ALIMENTAÇÃO,260.56
2007,Lula,0,2007-01-05,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR,GENEROS DE ALIMENTAÇÃO,471.42
2007,Lula,0,2007-01-05,COMERCIAL DE PRODUTOS ANIMAIS QUATRO PATAS LTDA,ALIMENTOS PARA ANIMAIS,58.6
2007,Lula,0,2007-01-05,CENTRAL SERVICE TURISMO LTDA,LOCACAO DE MEIOS DE TRANSPORTE,11685.36
2007,Lula,0,2007-01-07,DROGAFARMA PAULISA,MATERIAL FARMACOLOGICO,30.0
2007,Lula,0,2007-01-07,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR,GENEROS DE ALIMENTAÇÃO,198.1
2007,Lula,0,2007-01-07,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR,GENEROS DE ALIMENTAÇÃO,105.79
2007,Lula,0,2007-01-07,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR,GENEROS DE ALIMENTAÇÃO,368.68
2007,Lula,0,2007-01-08,RICARDO NUNES DE SOUZA BRITO MECÂNICA - ME,MATERIAL P/MANUTENÇÃO DE VEÍCULOS,271.25
2007,Lula,0,2007-01-08,RICARDO NUNES DE SOUZA BRITO MECÂNICA - ME,MANUT. E CONS. DE VEÍCULOS,85.0
2007,Lula,0,2007-01-08,IDEAL WORK DITRIBUIDORA DE UNIFORMES LTDA.,"UNIFORMES, TECIDOS E AVIAMENTOS",500.0
2007,Lula,0,2007-01-08,CASA PLANETA DE BRASÍLIA MÁQUINAS E FERRAGENS LTDA,MATERIAL P/MANUTENÇÃO DE BENS MÓVEIS,190.0
2007,Lula,0,2007-01-08,MERCADO MUNICIPAL COMÉRCIO DE ALIMENTOS LTDA.,GENEROS DE ALIMENTAÇÃO,349.36
2007,Lula,0,2007-01-08,DIVISO EMPREENDIMENTOS HOTELEIROS S/A,HOSPEDAGENS,370.54
2007,Lula,0,2007-01-08,DIVISO EMPREENDIMENTOS HOTELEIROS S/A,HOSPEDAGENS,370.54
2007,Lula,0,2007-01-08,RIEMA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,HOSPEDAGENS,700.0
2007,Lula,0,2007-01-08,RIEMA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,HOSPEDAGENS,700.0
2007,Lula,0,2007-01-08,RIEMA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,HOSPEDAGENS,700.0
2007,Lula,0,2007-01-08,RIEMA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,HOSPEDAGENS,700.0
2007,Lula,0,2007-01-08,ATLANTICA HOTELS INTERNACIONAL BRASIL LTDA,HOSPEDAGENS,210.0
2007,Lula,0,2007-01-08,ATLANTICA HOTELS INTERNACIONAL BRASIL LTDA,HOSPEDAGENS,262.5
2007,Lula,0,2007-01-08,ATLANTICA HOTELS INTERNACIONAL BRASIL LTDA,HOSPEDAGENS,131.25
2007,Lula,0,2007-01-09,JOAREZ DANTAS,MANUT. E CONS. DE VEÍCULOS,41.0
2007,Lula,0,2007-01-09,ROCCO E FILHOS LTDA,MATERIAL P/MANUTENÇÃO DE BENS IMÓVEIS,272.6
2007,Lula,0,2007-01-09,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,495.0
2007,Lula,0,2007-01-09,CARREFOUR COM E INDUSTRIA LTDA,GENEROS DE ALIMENTAÇÃO,743.23
2007,Lula,0,2007-01-10,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,303.86
2007,Lula,0,2007-01-10,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,122.92
2007,Lula,0,2007-01-10,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,GENEROS DE ALIMENTAÇÃO,123.39
2007,Lula,0,2007-01-10,JR COMÉRCIO DE FERRAGENS LTDA.,MATERIAL P/MANUTENÇÃO DE BENS MÓVEIS,89.0
2007,Lula,0,2007-01-10,CARREFOUR COM E INDUSTRIA LTDA,GENEROS DE ALIMENTAÇÃO,1956.97
2007,Lula,0,2007-01-11,COMETA COMÉRCIO DE CARIMBOS E CHAVES LTDA. - ME,MATERIAL DE EXPEDIENTE,27.0
2007,Lula,0,2007-01-11,RONAR AUTO VIDROS LTDA. - ME,MATERIAL P/MANUTENÇÃO DE VEÍCULOS,600.0
2007,Lula,0,2007-01-11,FLORICULTURA GARDÊNIA LTDA - ME,OUTROS MATERIAIS DE CONSUMO,750.0
2007,Lula,0,2007-01-11,"ASTURIAS COM. VARI. ARTIGOS CAÇA, PESCA E CAMPING",OUTROS MATERIAIS DE CONSUMO,42.0
2007,Lula,0,2007-01-11,IVO RODRIGUES BUFFET - ME,LOCAÇÃO BENS MOV. OUTR. NATUREZA E INTANGÍVEIS,5816.0
2007,Lula,0,2007-01-11,POSTO DE SERVIÇOS VAREDA TROPICAL LTDA,COMBUSTIVEIS E LUBRIF. AUTOMOTIVOS,1299.5
2007,Lula,0,2007-01-11,DROGAFARMA PAULISA,MATERIAL FARMACOLOGICO,60.96
2007,Lula,0,2007-01-11,EMANUEL PATRICIO FERREIRA DE ANDRADE - PESCADOS - ME,GENEROS DE ALIMENTAÇÃO,972.0
2007,Lula,0,2007-01-11,CARREFOUR COM E INDUSTRIA LTDA,GENEROS DE ALIMENTAÇÃO,905.04
2007,Lula,0,2007-01-12,CARREFOUR COM E INDUSTRIA LTDA,GENEROS DE ALIMENTAÇÃO,1032.22
2007,Lula,0,2007-01-12,RITZ PLAZA HOTEL LTDA,HOSPEDAGENS,666.0
2007,Lula,0,2007-01-12,RITZ PLAZA HOTEL LTDA,HOSPEDAGENS,666.0
2007,Lula,0,2007-01-12,RITZ PLAZA HOTEL LTDA,HOSPEDAGENS,666.0
2007,Lula,0,2007-01-12,P.J.P. LOCAÇÕES E SERVIÇOS LTDA - BRASÍLIA RENT A,LOCACAO DE MEIOS DE TRANSPORTE,2394.62
2007,Lula,0,2007-01-12,P.J.P. LOCAÇÕES E SERVIÇOS LTDA - BRASÍLIA RENT A,LOCACAO DE MEIOS DE TRANSPORTE,247.12
2007,Lula,0,2007-01-12,SERHS NATAL GRAND HOTEL,HOSPEDAGENS,4917.0
2007,Lula,0,2007-01-12,IVANIR MILHEIRO FAJARDO ME,HOSPEDAGENS,3960.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,1606.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,3091.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,2720.85
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,3091.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,2227.5
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,990.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,3613.5
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,3091.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,3922.6
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,3091.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,2475.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,2475.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,495.0
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,GENEROS DE ALIMENTAÇÃO,1205.6
2007,Lula,0,2007-01-13,HOTEL ILHA DE SANTO AMARO LTDA - STRAND,HOSPEDAGENS,247.5
